parent,child,width,color,name
10258,0,100,#FFC0CB,10258 (interacts with) 0
10239,1,100,#FFC0CB,10239 (interacts with) 1
2755,2,100,#FFC0CB,2755 (interacts with) 2
2432,3,100,#FFC0CB,2432 (interacts with) 3
2916,4,100,#FFC0CB,2916 (interacts with) 4
4028,5,100,#FFC0CB,4028 (interacts with) 5
2912,6,100,#FFC0CB,2912 (interacts with) 6
2920,7,100,#FFC0CB,2920 (interacts with) 7
8071,8,100,#FFC0CB,8071 (interacts with) 8
8,9,100,#FFC0CB,8 (interacts with) 9
3381,10,100,#FFC0CB,3381 (interacts with) 10
8310,11,100,#FFC0CB,8310 (interacts with) 11
8310,12,100,#FFC0CB,8310 (interacts with) 12
9457,13,100,#FFC0CB,9457 (interacts with) 13
11670,14,100,#FFC0CB,11670 (interacts with) 14
9781,15,100,#FFC0CB,9781 (interacts with) 15
9594,16,100,#FFC0CB,9594 (interacts with) 16
1149,17,100,#FFC0CB,1149 (interacts with) 17
9860,18,100,#FFC0CB,9860 (interacts with) 18
370,19,100,#FFC0CB,370 (interacts with) 19
12188,20,100,#FFC0CB,12188 (interacts with) 20
20,21,100,#FFC0CB,20 (interacts with) 21
20,22,100,#FFC0CB,20 (interacts with) 22
20,23,100,#FFC0CB,20 (interacts with) 23
337,24,100,#FFC0CB,337 (interacts with) 24
5156,25,100,#FFC0CB,5156 (interacts with) 25
25,26,100,#FFC0CB,25 (interacts with) 26
9356,27,100,#FFC0CB,9356 (interacts with) 27
2710,28,100,#FFC0CB,2710 (interacts with) 28
5218,29,100,#FFC0CB,5218 (interacts with) 29
9687,30,100,#FFC0CB,9687 (interacts with) 30
3794,31,100,#FFC0CB,3794 (interacts with) 31
31,32,100,#FFC0CB,31 (interacts with) 32
1626,33,100,#FFC0CB,1626 (interacts with) 33
3794,34,100,#FFC0CB,3794 (interacts with) 34
34,35,100,#FFC0CB,34 (interacts with) 35
9436,36,100,#FFC0CB,9436 (interacts with) 36
1739,37,100,#FFC0CB,1739 (interacts with) 37
9495,38,100,#FFC0CB,9495 (interacts with) 38
9436,39,100,#FFC0CB,9436 (interacts with) 39
10278,40,100,#FFC0CB,10278 (interacts with) 40
5634,41,100,#FFC0CB,5634 (interacts with) 41
6194,42,100,#FFC0CB,6194 (interacts with) 42
5499,43,100,#FFC0CB,5499 (interacts with) 43
9789,44,100,#FFC0CB,9789 (interacts with) 44
4516,45,100,#FFC0CB,4516 (interacts with) 45
5512,46,100,#FFC0CB,5512 (interacts with) 46
4704,47,100,#FFC0CB,4704 (interacts with) 47
5512,48,100,#FFC0CB,5512 (interacts with) 48
5512,49,100,#FFC0CB,5512 (interacts with) 49
10278,50,100,#FFC0CB,10278 (interacts with) 50
9457,51,100,#FFC0CB,9457 (interacts with) 51
1514,52,100,#FFC0CB,1514 (interacts with) 52
52,53,100,#FFC0CB,52 (interacts with) 53
9775,54,100,#FFC0CB,9775 (interacts with) 54
1612,55,100,#FFC0CB,1612 (interacts with) 55
5880,56,100,#FFC0CB,5880 (interacts with) 56
56,57,100,#FFC0CB,56 (interacts with) 57
3361,58,100,#FFC0CB,3361 (interacts with) 58
58,59,100,#FFC0CB,58 (interacts with) 59
58,60,100,#FFC0CB,58 (interacts with) 60
3846,61,100,#FFC0CB,3846 (interacts with) 61
9921,62,100,#FFC0CB,9921 (interacts with) 62
9447,63,100,#FFC0CB,9447 (interacts with) 63
10273,64,100,#FFC0CB,10273 (interacts with) 64
3645,65,100,#FFC0CB,3645 (interacts with) 65
1024,66,100,#FFC0CB,1024 (interacts with) 66
66,67,100,#FFC0CB,66 (interacts with) 67
733,68,100,#FFC0CB,733 (interacts with) 68
6719,69,100,#FFC0CB,6719 (interacts with) 69
7628,70,100,#FFC0CB,7628 (interacts with) 70
6719,71,100,#FFC0CB,6719 (interacts with) 71
11550,72,100,#FFC0CB,11550 (interacts with) 72
72,73,100,#FFC0CB,72 (interacts with) 73
73,74,100,#FFC0CB,73 (interacts with) 74
9395,75,100,#FFC0CB,9395 (interacts with) 75
12211,76,100,#FFC0CB,12211 (interacts with) 76
72,77,100,#FFC0CB,72 (interacts with) 77
3015,78,100,#FFC0CB,3015 (interacts with) 78
2670,79,100,#FFC0CB,2670 (interacts with) 79
2670,80,100,#FFC0CB,2670 (interacts with) 80
1918,81,100,#FFC0CB,1918 (interacts with) 81
81,82,100,#FFC0CB,81 (interacts with) 82
81,83,100,#FFC0CB,81 (interacts with) 83
11887,84,100,#FFC0CB,11887 (interacts with) 84
1581,85,100,#FFC0CB,1581 (interacts with) 85
10179,86,100,#FFC0CB,10179 (interacts with) 86
9815,87,100,#FFC0CB,9815 (interacts with) 87
1357,88,100,#FFC0CB,1357 (interacts with) 88
2763,89,100,#FFC0CB,2763 (interacts with) 89
12248,90,100,#FFC0CB,12248 (interacts with) 90
474,91,100,#FFC0CB,474 (interacts with) 91
10274,92,100,#FFC0CB,10274 (interacts with) 92
4442,93,100,#FFC0CB,4442 (interacts with) 93
4723,94,100,#FFC0CB,4723 (interacts with) 94
94,95,100,#FFC0CB,94 (interacts with) 95
94,96,100,#FFC0CB,94 (interacts with) 96
5663,97,100,#FFC0CB,5663 (interacts with) 97
5636,98,100,#FFC0CB,5636 (interacts with) 98
8247,99,100,#FFC0CB,8247 (interacts with) 99
3370,100,100,#FFC0CB,3370 (interacts with) 100
100,101,100,#FFC0CB,100 (interacts with) 101
100,102,100,#FFC0CB,100 (interacts with) 102
8247,103,100,#FFC0CB,8247 (interacts with) 103
667,104,100,#FFC0CB,667 (interacts with) 104
1164,105,100,#FFC0CB,1164 (interacts with) 105
12077,106,100,#FFC0CB,12077 (interacts with) 106
3981,107,100,#FFC0CB,3981 (interacts with) 107
10278,108,100,#FFC0CB,10278 (interacts with) 108
10576,109,100,#FFC0CB,10576 (interacts with) 109
8211,110,100,#FFC0CB,8211 (interacts with) 110
9616,111,100,#FFC0CB,9616 (interacts with) 111
2677,112,100,#FFC0CB,2677 (interacts with) 112
9818,113,100,#FFC0CB,9818 (interacts with) 113
9799,114,100,#FFC0CB,9799 (interacts with) 114
2974,115,100,#FFC0CB,2974 (interacts with) 115
